Reference	Sentence	Itkonen	Matrix	Embed	Case	Note
voima.fi	"<s> Äärirepublikaanit eivät kuitenkaan vielä voi luottaa siihen, että Romney olisi riittävän konservatiivinen ollakseen heidän ehdokkaansa, sillä vuonna 1994 hän sanoi abortin olevan OK. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
blogspot.fi	"<s> Jos en olisi tienneeni syöväni sammakkoa, olisin voinut luulla kyseessä olevan kanankoiven. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	<s> Millasta toivoisit elämäsi olevan n. 10 vuoden kuluttua? - Unelma olisi asua ulkomailla ja tehdä mahdollisesti sitä työtä mistä oon haaveillut ja omistaa koira ja heppa jne :) </s>	FALSE				"NP is an adverbial ""in 10 years"""
blogspot.cz	"<s> Olen jo sanonut sinulle, että SCUM-manifestin kirjoittaja on itsekin sanonut teoksen olevan parodia. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Frank Schaefferin Crazy for God -kirjassa (suosittelen lukulistallesi) muistellaan miten Frankin vanhemmat (hartaita uskovaisia ja arvostettuja evankelisoijia) eivät millään ymmärtäneet niitä jotka väittivät homouden olevan valinta. </s>	TRUE	ACT	PRED	NOM	
uusisuomi.fi	<s> Kukaan ei väitä kannabistuotteiden olevan supermyrkky. </s>	TRUE	ACT	PRED	NOM	
w2.fi	"<s> Aywa naksautti kieltään, kuin sanoakseen asian olevan itsestäänselvyys. </s>"	TRUE	ACT	PRED	NOM	"matrix ""sanoakseen"", nonfinite"
evl-slk.fi	"<s> Lapset kiinnittivät huomion siihen, että Raamattu sanoo Getsemanen olevan puutarha. </s>"	TRUE	ACT	PRED	NOM	
kotipetripaavola.com	"<s> He perustelevat tätä harhaoppia sanomalla, että Jumalan sana sanoo sekä Jeesus sanoi ihmisen olevan jumala. </s>"	TRUE	ACT	PRED	NOM	
studio55.fi	"<s> Menin yksityiselle neurologille, joka sanoi päänsäryn olevan migreeniä. </s>"	FALSE				NP is PAR
btcf.fi	<s> Mainittakoon vielä että oma seisonut BMW kilahti katsastuksessa päästöarvoihin ja katsastusmies sanoi katin olevan rikki. </s>	FALSE				"NP is ""rikki"""
blogspot.fi	"<s> Kun puhuttiin joskus aiheesta koulussa, Iiro sanoi halaamisen olevan muoti-ilmiö. </s>"	TRUE	ACT	PRED	NOM	
kotipetripaavola.com	"<s> Mosabille sanotaan usein, että onko se Jeesuksen rakkautta, että sanot Islamin olevan valhe. </s>"	TRUE	ACT	PRED	NOM	
hoitonetti.fi	"<s> Kerran kun lääkäriasemalla hoitsu sai 35,2, sanoi mittarin olevan rikki! </s>"	FALSE 				"NP is ""rikki"""
wikipedia.org	"<s> George pettyy, kun Jerry ei sanonut Georgen olevan arkkitehti. </s>"	TRUE	ACT	PRED	NOM	
wikipedia.org	"<s> George on samaisella rannalla kävelyllä entisen luokkalaisensa kanssa, joka siis luulee Georgen olevan meribiologi. </s>"	TRUE	ACT	PRED	NOM	
hostei.com	"<s> Debbie ei missään nimessä halua maata miehen kanssa, ja pelaa lisäaikaa hieromalla tätä, kunnes Eli tulee ja väittää sisarensa olevan 14. </s>"	FALSE 				NP is a numeral
nrgm.fi	<s> Minä kun luulin Musen olevan rockyhtye. </s>	TRUE	ACT	PRED	NOM	
mikanyyssola.fi	<s> Kun sanot käsiesi olevan 47cm. </s>	FALSE 				NP is a numeral
tampereenmetodistisrk.fi	<s> Miehet toivovat kodin olevan rauhansatama. </s>	TRUE	ACT	PRED	NOM	
eioototta.fi	"<s> Normaalisti siihen ei tule yhdysviivaa, mutta se kannattaa laittaa, jottei lukija luule sanan olevan syy-silta. </s>"	TRUE	ACT	PRED	NOM	
proboards.com	<s> Sil tirskahti kun Tuqi sanoi kasuaarin olevan juoksija. </s>	TRUE	ACT	PRED	NOM	
vasemmisto.fi	"<s> Eikä varsinkaan paikka, jossa nuorille kerrotaan työn olevan rangaistus. </s>"	TRUE	PASS	PRED	NOM	
timoheinonen.fi	"<s> Eihän kyse kohussa ole siitä että liha on hevosen vaan siitä, että paketissa kerrotaan lihan olevan naudan. </s>"	FALSE 				ellipsis
blogspot.com.au	"<s> Pari viikkoa sitten vantaalainen perheenäiti otti minun yhteyttä, ja kertoi poikansa olevan koulukiusattu. </s>"	TRUE	ACT	PRED	NOM	
doria.fi	<s> Antipsykiatrinen kritiikki väittää psykiatrian olevan uskonto. </s>	TRUE	ACT	PRED	NOM	
wordpress.com	"<s> Olin siis piilossa, mutta kehuin sieltä aina välillä, kun Nina sanoi Nalan olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"""
fffin.com	"<s> Hän ei kuitenkaan ollut sanonut sanaakaan matkakumppaneilleen, jotka olisivat varmasti luulleet Andren olevan sekopää. </s>"	TRUE	ACT	PRED	NOM	
suntuubi.com	<s> Seisahduin katsomaan paikkaa ja ohi kulkeva kissa kertoi paikan olevan päiväkoti. </s>	TRUE	ACT	PRED	NOM	
kansanuutiset.fi	"<s> Jäin miettimään, mitä kaikkea saamastani leluesittelystä olisi jäänyt puuttumaan, jos olisin kertonut lapsen olevan tyttö . Siis vuoden vanha tyttö. </s>"	TRUE	ACT	PRED	NOM	
genealogia.fi	"<s> Arvo Ylppö muisteli kirjassaan tavanneensa vuonna 1930 55-vuotiaan synnyttäjän, joka oli ammatiltaan kätilö ja oli mennyt lääkäriin luullessaan vatsassaan olevan kasvaimen. </s>"	TRUE	ACT	EXIST	GEN	"matrix ""luullessaan"", nonfinite"
blogspot.fi	<s> Käsiohjelma kertoo näytelmän olevan asennekomedia. </s>	TRUE	ACT	PRED	NOM	
menaiset.fi	<s> Hän sanoo pestin olevan unelmatyö. </s>	TRUE	ACT	PRED	NOM	
verkkouutiset.fi	"<s> ""Ohjelmien kömpelö rajapinta"" ei kuitenkaan vaikuttanut ja joku oli sanonut puhelimen olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
kotipuutarhuri.com	"<s> Sain lahjaksi kauniin ""puumaisen"" kasvin ja lahjanantaja kertoi kasvin olevan pippuri. </s>"	TRUE	ACT	PRED	NOM	
mattiollila.fi	<s> 10:01 Sen verran haluan mahdollisesti korjata tuota että ainakin minä luulisin kyseessä olevan sijaisen. </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
suntuubi.com	<s> Moni lukija väittää Saivartelijan olevan roskalehti. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Huomasin että Claes sanoi autoilun olevan elintasosairaus. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Neuvolassakin sanottiin soijatuotteiden olevan ok. </s>	TRUE	ACT	PRED	NOM	"NP is ""OK"""
finfanfun.fi	"<s> (Viestin tarkoitus on muistuttaa mua tämän topan olemassaolosta, jos sen joskus unohdan :D) Jos tahdot heittää jo tuonne listaukseen, niin voin melko varmasti sanoa fandomin olevan HP. </s>"	TRUE	ACT	PRED	NOM	
livejournal.com	<s> Näytön oikea alanurkka väittää ajan olevan nollanolla-kaksoispiste-yksikolme. </s>	FALSE 				NP is a numeral
elonet.fi	<s> Äkkiä hän mainitsee 11-vuotiaan tyttärensä Marjukan ja sanoo Uskon olevan isä. </s>	TRUE	ACT	PRED	NOM	
miesklinikka.com	<s> Hei! 80-vuotiaalla ukillani todettiin n.3 vuotta sitten eturauhasessa syöpä (oli jo todettaessa 200gr) nyt on ollut ripulia ja ruoka ei maistu n.2 kuukautta. tutkimuksissa käytiiin juuri tänään ja lääkäri arveli maksassa olevan etäpesäkkeen. </s>	TRUE	ACT	EXIST	GEN	
blogspot.fi	<s> Vihaan kun ihmiset sanovat tanssin olevan urheilulajin. </s>	TRUE	ACT	PRED	GEN	
suomi24.fi	<s> Enhän sanonutkaan filan olevan laumanvartija. </s>	TRUE	ACT	PRED	NOM	
myyverkossa.fi	"<s> Jos sitten ostoskorissa jää maksutapa valitsematta, ja asiakkaalle huomautetaan tästä, asiakas näkee vain että tuli ""joku virheilmoitus"" ja luulee kaupan olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
tuulilasi.fi	"<s> Kaupankäynnin kannalta on oleellista, että myyjä kertoo auton olevan tuontiauton. </s>"	TRUE	ACT	PRED	GEN	
blogspot.fi	<s> Anne Savioja tuomaroi ja sanoi radan olevan dementia-testin. </s>	TRUE	ACT	PRED	GEN	
suntuubi.com	"<s> #Kas, se ei olekaan mikään Kura, Sora, Lika tai vastaava#, hymähdin itsekseni suden kertoessa nimensä olevan Rue. </s>"	TRUE	ACT	PRED	NOM	"matrix ""kertoessa"", nonfinite"
proboards.com	"<s> Siis, jos aijoit käydä siellä kävelyllä, ja taisit sanoa reitin olevan 2km? </s>"	FALSE 				NP is a numeral
puhelinvertailu.com	"<s> Aluksi HTC:kin vahvisti kyseessä olevan fyysisen laitevian, mutta tämän jälkeen HTC onkin kertonut kyseessä olevan ohjelmisto-ongelman. </s>"	TRUE	ACT	EXIST	GEN/GEN	"""kyseessä olevan"" NP, two examples!"
blogspot.cz	"<s> Loukkua katsoessa pitää välillä muistuttaa itseään hengittämään, niin tiukasti elokuva pitää otteessaan, niin paljon katsoja toivoo viisikon onnistuvan ja niin paljon hän pelkää tulokkaan olevan petturi. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Kukaan ei ymmärrä, kun sanon Greyn olevan elämäni. </s>"	FALSE 				TRUE but ambiguous NOM/GEN
blogspot.fi	<s> Osaan peittää tunteet et muut luulee mun olevan ok. </s>	TRUE	ACT	PRED	NOM	"NP is ""ok"""
jatkoaika.com	"<s> XP:n Network Magic, taas näytti Vistan jaot, mutta väitti koneen olevan offline. </s>"	FALSE 				"NP is ""offline"""
blogspot.cz	"<s> Jos tämä puhelu olisi tullut 1.4., olisin arvellut soiton olevan aprillipilan. </s>"	TRUE	ACT	PRED	GEN	
blogspot.fi	"<s> Julistettiin sotia, väitettiin omien etujen ajajaksi sekä pyrkyriksi ja sanottiin tehtävän olevan suojatyöpaikka. </s>"	TRUE	PASS	PRED	NOM	
film-o-holic.com	<s> Tom väittää motiivinsa olevan rakkaus. </s>	TRUE	ACT	PRED	NOM	
vauva.fi	"<s> Muutaman kuukauden jälkeen miehelle tuli omituisia patteja, kävi urologilla ja hänelle sanottiin kyseessä olevan kondylooma. </s>"	TRUE	PASS	EXIST	NOM	"""kyseessä olevan"" NP"
voima.fi	"<s> Ja niitäkin kommentteja tulee, että ihmiset väittävät sterilisoinnin olevan eläinoikeusrikkomus. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Tapasin myös tämän kapteenin, joka kertoi nimensä olevan Kaloris. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Sinfoniaorkesterin sijaan asialla on vaskikvintetti Quinsonitus , eli musiikkitermejä tuntemattomille kerrottakoon kyseessä olevan puhallinsoitinorkesteri. </s>"	TRUE	PASS	EXIST	NOM	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Matkalla illalliselle Tässä vielä naurattaa kun luulin kävelymatkan olevan n. 5 minuutin mittainen, mutta se olikin nelin-viisinkertainen ja tällä rantakadulla oli vielä hyvä kävellä, mutta muualla kun ne kadut on tällaisia: </s>"	TRUE	ACT	PRED	NOM	
amazeme.fi	"<s> Optigenistä tuli tänään sähköpostiviesti, joka kertoi Kiian olevan CEA-kantaja. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Kun Linneus oli viimein kertomassa isällensä, että olisi homo, Sabas kertoi pojan olevan perijä. </s>"	TRUE	ACT	PRED	NOM	
wordpress.com	"<s> Yksikään oppineista ei ole sanonut että se ei olisi hyväksytty tai pätevä, vaan he kielsivät sen johtuen niistä seurauksista, jotka väistämättä vaikuttavat naiseen, ja koska se on alentavaa hänelle, ja se vaikuttaa yhteiskuntaan kun pahat ihmiset käyttävät tällaista avioliittosopimusta hyväkseen, sillä nainen voi väittää poikaystävän olevan aviomies. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Juoksin ilman nastoja, koska luulin metsän olevan sulan. </s>"	TRUE	ACT	PRED	GEN	
wordpress.com	<s> Ja Teemu Pukki voisi tosiaan yrittää päästä edes siinä mikkihiirijengissä kentälle ennen kuin kertoo Arsenalin olevan pikkuseura. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Mun täytyy nyt olla otettu nuorekkuudestani ;)- yksi nainen bussiin mennessä luuli mun olevan opiskelija. :) Tai kyllähän ihmiset opiskelevat elämänsä eri vaiheissa, joten en suoraan tiedä, pidettiinkö mua ikäistäni nuorempana.;) </s>"	TRUE	ACT	PRED	NOM	
iltasanomat.fi	<s> Mikäli joku esim. lyö toista tai potkaisee munille niin luulisi kyseessä olevan pahoinpitely. </s>	TRUE	ACT	EXIST	NOM	
kossit.com	"<s> Yksissä tuumin arvelimme kalan olevan n. 2,5 – 3kg kala. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Nytkin kyselyn mukaan joka kolmas suomalainen luulee demareiden olevan hallituspuolue. </s>	TRUE	ACT	PRED	NOM	
tusky.fi	<s> Justin kieltäytyi ottamasta vastaan rahaa ja sanoi kannabiksen olevan lahja. </s>	TRUE	ACT	PRED	NOM	
kotipetripaavola.com	"<s> Reimarus perusti uskonsa ihmisviisauteen, siksi hän luuli Raamatun olevan satukirja. </s>"	TRUE	ACT	PRED	NOM	
hangonrintama.fi	<s> Toisen kerrotaan siviiliammatiltaan olevan turkismetsästäjän. </s>	TRUE	PASS	PRED	GEN	
blogspot.fi	"<s> Välillä mennään niin yli, että voisi luulla kyseessä olevan parodian. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP, matrix ""luulla"", nonfinite"
liekkitytot.fi	<s> Ristin muoto kertoo taustayhteisömme olevan seurakunta. </s>	TRUE	ACT	PRED	NOM	
japo.fi	"<s> Shaikovkasta lähtiessäni Fiatin etupyörästä alkoi kuulua äänekästä rahinaa, ja arvelin laakerin olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
kpnet.fi	"<s> Kyllä he ansaitsevat sitä siinä, koska he kieltävät kasteen armonvälineenä ja Jumalan pelastustekona sekä suoraan että väittämällä kasteen olevan kuuliaisuudenteko. </s>"	TRUE	ACT	PRED	NOM	"matrix ""väittämällä"", nonfinite"
drmouse.fi	"<s> Vein koiran lääkäriin, joka arveli kyseessä olevan panosteiitin. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
novelli.fi	<s> Nainen oli sanonut mulkun olevan muistoesine. </s>	TRUE	ACT	PRED	NOM	
luontoportti.fi	<s> Birdlifen Lauri Hänninen kertoi kyseessä olevan viirupöllö. </s>	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
alexstubb.com	"<s> Jizhah Rabin, työväenpuolueen mies oli itse vielä 1987 alkaneen ensimmäisen terrori-intifadan aikana sanonut Jordanian olevan palestiinalaisvaltio. </s>"	TRUE	ACT	PRED	NOM	
nyysisuomi.fi	"<s> En muista lähdettä, mutta Bloomberg on sanonut rahan olevan mittanauha. </s>"	TRUE	ACT	PRED	NOM	
ning.com	"<s> Opiskelemalla devayogan pääteoriaa löydetään kuitenkin halu mudran osapuolien välistä, ja sen merkitys on selitettävä, vaikka luulisi kyseessä olevan harjoitus. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
blogspot.fi	<s> Moni sanoo hevosten olevan elämäntapa. </s>	TRUE	ACT	PRED	NOM	
e-savuke.com	"<s> Tuotekuvaukset ja kuvat olivat kuitenkin samat kuin perusversiossa, joten luulin kyseessä olevan kirjoitusvirheen. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Sain Muutoksia lahjaksi ja päätin lukea sen, ja vielä kirjaa aloittaessani - tämä on vähän noloa myöntää - luulin Franzenin olevan britti. *blush* No, joka tapauksessa, en siis tiennyt kirjailijasta paljon mitään ja vielä vähemmän kirjasta, ja rakastuin. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Maf on siis toisaalta oman atomipommipelkoisen aikansa tulkki, mutta toisaalta hän koiramaiseen tyyliin laittaa elämänsä puistot paremmuusjärjestykseen ja sanoo Lassien olevan ihannetyttönsä. </s>"	FALSE 				TRUE but ambiguous NOM/GEN
blogspot.fi	"<s> Uteliaisuudesta kysyin eräältä leipojatytöltä, että mistä on kyse ja hän kertoi kyseessä olevan challah-leivän. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	<s> Lippuja jäi kassaan meidän jälkeemme enää kuusi kappaletta ja seuraavana päivänä kaikkien näytösten kerrottiin lehdessä olevan loppuunmyytyjä. </s>	FALSE 				NP is PAR
blogspot.fi	<s> Ei syyttäjä valittanut päätöksestä vaan sanoi asian olevan loppuunkäsitelty. </s>	TRUE	ACT	PRED	NOM	
muropaketti.com	<s> C#-kieltä sen tekemiseen joka tapauksessa vaaditaan vaikka MS joskus yrittikin väittää Metron olevan html5-kehys. </s>	TRUE	ACT	PRED	NOM	
sektori.com	<s> Käräjiä käynnistellessään Microsoftille ilmeisesti oli aivan selvää tuon windows-nimen merkitys ja luulivat käsittelyn olevan läpihuutojuttu. </s>	TRUE	ACT	PRED	NOM	
menaiset.fi	"<s> Mainonnan tulee olla tunnistettavaa, vrt. telkkari ja ohjelma sisältöön tuotesijoittelua -ilmoitukset. eräs bloggari ketoi saavansa päivittäisiä kierteleviä pyyntöjä sähköpostitse kehaista milloin kenenkin valmistajan tuotetta, mainitsematta että pyyntö on tullut tältä valmistajalta, ettei kerrottaisi kyseessä olevan mainoksen. </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	"<s> Hän ei mitenkään suostunut uskomaan, kun väitimme jälkiruoan olevan Snickersiä . Makeat miehet kun viipottivat jälkiruokien kanssa luoksemme ja kertoivat lautaseltamme löytyvän ""Snickersiä"" ja karamellijäätelöä, oli Pinjan ilme näkemisen arvoinen. </s>"	FALSE 				NP is PAR
btcf.fi	<s> Niin siis sitä ihmettelin että milläs ihmeellä siellä voi olla vikakoodi joka kertoo katalysaattoreiden olevan rikki. </s>	FALSE 				"NP is ""rikki"""
flockler.com	<s> Siinä sanotaan hillasesongin olevan 15-25.7. </s>	FALSE 				NP is a numeral
kuluttajavirasto.fi	"<s> Markkinaoikeuden päätöksen mukaan Rentmar Oy ei saa jatkossa kutsua kuluttajia osakkeiden myyntitilaisuuteen arpajaisvoiton varjolla ilman, että se kertoo kyseessä olevan kaupantekotilaisuus. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
wordpress.com	"<s> Kaikki viittaa onnettomaan tapaturmaan, mutta jutun harteilleen saava äreä komisario Palmu väittää kyseessä olevan murha. </s>"	TRUE	ACT	EXIST	NOM	
blogspot.fi	<s> Leskirouva arveli kyseessä olevan kummituksen. </s>	TRUE	ACT	EXIST	GEN	
suntuubi.com	<s> Onko se vahinko vai oletko luullut sanan olevan joukkoe? </s>	TRUE	ACT	PRED	NOM	
mattiollila.fi	"<s> Luulen nimimerkin viittaavan sinänsä samaan aihepiiriin, josta kerroin asianajokulun olevan pikkuasia. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Saavuimme ravintolaan keskiviikkona 20 vaille kuusi ja meille sanottiin odotusajan olevan n. 35 minuuttia. </s>	FALSE 				NP is a numeral
blogspot.fi	"<s> On kuvaavaa, että miestä loukatakseen nainen sanoo miehen olevan naismainen. </s>"	TRUE	ACT	PRED	NOM	
plaza.fi	"<s> Erityisen vastenmieliseltä tietysti tuntuu ajatus, että joku kiihkouskovainen lastenraisakaaja osallistuu muslimivihan lietsomiseen väittämällä islamin olevan pedofiiliuskonto. </s>"	TRUE	ACT	PRED	NOM	"matrix ""väittämällä"", nonfinite"
blogspot.fi	<s> molemmat lapsemme ovat syntyneet sateella. myös heti kihlauduttuamme ja vihkiydyttyämme antoi taivas sadetta. sanovat sateen olevan siunaus. sen tuovan onnea. minä katsoin ilmatieteen laitokselta. huomenna yhdeksän ja viidentoista välillä oli sadetta luvassa. että ehkä silloin! </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Samat tyypit sanovat karppauksen olevan uskonto. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Psalmien maininta Jumalasta ""turvakalliona,"" ei väitä Jumalan olevan kivikasa. </s>"	TRUE	ACT	PRED	NOM	
ellit.fi	<s> Ja missä Wagnerin morsian väittäisi rouvan olevan arvonimi? </s>	TRUE	ACT	PRED	NOM	
suntuubi.com	<s> En ollut kertonut sisareni olevan pentu. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Miettimään, että mitä se tarkoittaa, kun sanotaan lapsissa olevan tulevaisuuden. </s>"	TRUE	PASS	EXIST	GEN	
wordpress.com	"<s> Levitysmahdollisuuksien puuttuminen vaihtoehtoisiksi mielletyiltä elokuvilta (kuka sanoikaan vaihtoehtojen olevan rikkaus? ) ei ole sen paremmin Tarrin kuin Hännisenkään syytä, ja olemme köyhempiä, kun meillä ei ole mahdollisuutta nähdä näitä ja muita valtavirran ulkopuolella tehtyjä elokuvia kankaalla. </s>"	TRUE	ACT	PRED	NOM	
iltalehti.fi	<s> Juttua muokattu 17.2. kello: 17.00: Jutussa kerrottiin Rukajärven olevan olympiavoittaja. </s>	TRUE	PASS	PRED	NOM	
blogspot.cz	"<s> Ensimmäinen ongelma ilmeni heti paketin saavuttua, kun emme saaneet tikkua toimimaan ja luulimme kaukosäätimen olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
hs.fi	"<s> Mutta tuossa LA Galaxya vastaan tehdyssä kantapäätempussa oli kai kyse siitä, että Mario luuli kyseessä olevan paitsion? </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
kepa.fi	"<s> ""Viranomaiset sanovat koulutuksen olevan prioriteetti. </s>"	TRUE	ACT	PRED	NOM	
e-savuke.com	"<s> Jännä, tuli hirveä pakokauhu ja nikkis, kun luulin akun olevan paskana. </s>"	FALSE 				NP is ESS
blogspot.fi	<s> Äitini oli makeankipeä ja luuli pussissa olevan karamellejä. </s>	FALSE 				NP is PAR
blogspot.fi	"<s> Koska betamiehen lahjakkuudet ovat muualla, hänellä ei ole sosiaalista dominanssia saada (tai pitää) naisia feministisessä yhteiskunnassa, vaan naiset toivoisivat betamiehen olevan homo. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Minulle myynyt henkilö sanoi kuivahtamisenkin olevan ok. </s>	TRUE	ACT	PRED	NOM	"NP is ""ok"""
lepakkolaakso.net	"<s> Ks. elokuvan Crying Game kohtaus, jossa heteromies huomaa naiseksi luulemansa ihmisen olevan mies. </s>"	TRUE	ACT	PRED	NOM	
timovirtala.net	"<s> Hänen teepaitansa sanoma on kulunut lukukelvottomaksi, mutta arvelen kyseessä olevan kaljamainos. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
aeronaut.fi	"<s> Esimerkiksi Mikko Uola: Suomen Ilmailuliitto 75 vuotta, Helsinki 1994 s.11 kuvateksti väittää kuvassa olevan kuumailmapallon. </s>"	TRUE	ACT	EXIST	GEN	
shoutwiki.com	"<s> Kenobi lähetettiin Rodialle , missä hänen piti noutaa Wee Dunn . Saapuessaan paikalle Dunnin äiti Mahtee Dunn uhkasi Kenobia aseella, sillä Bane oli pukeutunut jediksi, vienyt lapsen ja kertonut Kenobin olevan huijari. </s>"	TRUE	ACT	PRED	NOM	
suntuubi.com	<s> Kasvattajat myös toivoivat varsan olevan tamma. </s>	TRUE	ACT	PRED	NOM	
sathy.fi	<s> Poliisi sanoo koiran olevan pitbullterrieri. </s>	TRUE	ACT	PRED	NOM	
sathy.fi	"<s> Koiran omistajat sanovat koiran olevan amerikanstaffordshirenterrieri mutta koira-asiantuntijat, jotka ottivat koiran haltuunsa onnettomuuden jälkeen väittävät koiran olevan pitbullterrieri. </s>"	TRUE	ACT	PRED	NOM/NOM	two examples!
stara.fi	<s> Twilight-kaunotar Kristen Stewart on puolestaan kertonut erikoistaitonsa olevan jonglööraaminen. </s>	TRUE	ACT	PRED	NOM	
orionsydan.fi	"<s> Kuten edeltä käy ilmi, niin en voi sanoa syksyn olevan lempivuodenaikani. </s>"	FALSE 				TRUE but ambiguous NOM/GEN
kotipetripaavola.com	"<s> Isän Kaikkivaltius ei tietenkään vie pois Jeesukselta Jumaluutta, sillä Jumala itse sanoo Jeesuksen olevan Jumala. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Garmin sanoi matkan olevan 1000m. </s>	FALSE 				NP is a numeral
munpalsta.com	"<s> April ei ehkä kiinnittänyt siihen huomiota, hän vain kertoi esineen olevan porttiavain. </s>"	TRUE	ACT	PRED	NOM	
sektori.com	<s> Enkä väittänytkään kyseessä olevan paremmuusväittelyn. </s>	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	"<s> EDIT: huomaisnpa, etten tuossa esikoisen tarinassa vielä kertonut siemenisän olevan homo. </s>"	TRUE	ACT	PRED	NOM	
anssikela.com	"<s> Rolling Stone -lehti haukkui 70-luvulla Loun Berlin-albumin, mutta vuosia myöhemmin tuo arvostelu oikaistiin, ja sanottiin kyseessä olevan mestariteoksen. </s>"	TRUE	PASS	EXIST	GEN	
feissarimokat.com	<s> Ei se mitään tieteellisyyttä ole että naiset väittävät persikan olevan väri. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Tarkastelen kolmea osaa: alkua eli Helvetialaissotaa, sitten loppupuolen taistelua Vercingetorixia vastaan, ja lopuksi teoksen loppua, missä Caesar kertoo Caesarin olevan omnipotentti. </s>"	TRUE	ACT	PRED	NOM	
spinneri.fi	"<s> Lisätietona mainittakoon sekin, että 4A-FE ja 4A-GE moottorit eroavat perustaltaankin toisistaan; F-kirjan tyyppikoodissa kertoo kyseessä olevan kahdella kannen yläpuolisella nokka-akselilla (DOHC) varustettu moottori, mutta sen eräänlainen economy-versio, kun taas G-kirjain kertoo kyseessä olevan performance-versio. </s>"	TRUE	ACT	EXIST	NOM/NOM	"""kyseessä olevan"" NP, two examples!"
jatkoaika.com	"<s> Ei yhtään, siis ei yhtään, nimeä ole heitetty ilmoille kuka se syyllinen voisi olla, ennenkuin Sport kertoi pelaajan olevan Kuusisto. </s>"	TRUE	ACT	PRED	NOM	
tritolonen.fi	"<s> Kirjoittajan nimimerkki JP:n tietämättömyys aiheesta ilmenee heti kirjoituksen toisessa virkkeessä (klikkaa alla olevaan linkkiin), jossa hän väittää linolihapon olevan omega-3-rasvahappo. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Johtokunnan naispuolinen ihmetteli pientä karvatuppea vatsapoimuissani, mutta hänelle kerrottiin kyseessä olevan navan. </s>"	TRUE	PASS	EXIST	GEN	"""kyseessä olevan"" NP"
ircquotes.fi	"<s> Tulen kyllä hulluksi näiden Kajaanilaisten kanssa, meinasin ruveta riehumaan jo viime talvena kun K-Kaupassa ei ruvettu myymään mulle paria saunaolutta koska se kassalla istunut mummeli arveli ajokorttini olevan väärennös. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Onko joku teijän läheinen kuollu sen takia että joku sanoo vaatekokonsa olevan S-M? </s>	TRUE	ACT	PRED	NOM	
blogspot.cz	"<s> Hengitin sitä samaa surua, niin kauan että lopulta luulin unissa olevan kotini. </s>"	FALSE 				TRUE but ambiguous NOM/GEN
blogspot.fi	<s> Onko joku väittänyt naisten olevan marginaaliryhmä? </s>	TRUE	ACT	PRED	NOM	
vantaanlauri.fi	<s> Suuri joukko heistä sanoo haaveammattinsa olevan julkkis. </s>	TRUE	ACT	PRED	NOM	
